"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16074","TS1-01/02 · home renders hero and exactly 7 continent cards","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3145","TS4-10 · unknown continent shows a graceful state","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1500","TS8-04 · unknown route redirects home","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1647","TS1-12 · footer names data sources and copyright","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","223","TS9-02 · country identity is server-rendered (SEO)","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","4373","TS3-01/04/05 · search suggests, submits, and groups results","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","4953","TS4-01/05 · continent grid renders and filters","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1485","TS4-10 · unknown continent shows a graceful state","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","6335","TS5-05/08 · country lists cities that link to the streets map","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","9394","TS9-01 · home has the correct document title","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3243","TS2-04/05 · theme toggle switches and persists across reload","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","2891","TS8-04 · unknown route redirects home","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3412","TS5-05/08 · country lists cities that link to the streets map","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
